state_index,c1e_split,sample_id,source_group,position,replay_ready,missing_replay_fields,replay_packet_path,baseline_action_recoverable,candidate_action_recoverable,teacher_action_recoverable
16,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:17,1,1,1
17,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:18,1,1,1
18,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:19,1,1,1
19,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:20,1,1,1
20,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:21,1,1,1
21,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:22,1,1,1
22,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:23,1,1,1
23,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:24,1,1,1
24,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:25,1,1,1
25,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:26,1,1,1
26,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:27,1,1,1
27,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:28,1,1,1
28,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:29,1,1,1
29,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:30,1,1,1
30,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:31,1,1,1
31,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:32,1,1,1
32,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:33,1,1,1
33,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:34,1,1,1
34,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:35,1,1,1
35,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:36,1,1,1
36,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:37,1,1,1
37,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:38,1,1,1
38,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:39,1,1,1
39,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:40,1,1,1
40,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:41,1,1,1
41,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:42,1,1,1
42,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:43,1,1,1
43,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:44,1,1,1
44,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:45,1,1,1
45,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:46,1,1,1
46,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:47,1,1,1
47,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:48,1,1,1
48,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:49,1,1,1
49,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:50,1,1,1
50,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:51,1,1,1
51,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:52,1,1,1
52,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:53,1,1,1
53,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:54,1,1,1
54,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:55,1,1,1
55,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:56,1,1,1
56,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:57,1,1,1
57,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:58,1,1,1
58,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:59,1,1,1
59,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:60,1,1,1
60,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:61,1,1,1
61,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:62,1,1,1
62,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:63,1,1,1
63,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:64,1,1,1
64,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:65,1,1,1
65,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:66,1,1,1
66,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:67,1,1,1
67,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:68,1,1,1
68,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:69,1,1,1
69,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:70,1,1,1
70,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:71,1,1,1
71,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:72,1,1,1
72,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:73,1,1,1
73,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:74,1,1,1
74,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:75,1,1,1
75,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:76,1,1,1
76,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:77,1,1,1
77,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:78,1,1,1
78,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:79,1,1,1
79,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:80,1,1,1
80,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:81,1,1,1
81,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:82,1,1,1
82,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:83,1,1,1
83,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:84,1,1,1
84,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:85,1,1,1
85,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:86,1,1,1
86,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:87,1,1,1
87,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:88,1,1,1
88,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:89,1,1,1
89,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:90,1,1,1
90,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:91,1,1,1
91,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:92,1,1,1
92,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:93,1,1,1
93,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:94,1,1,1
94,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:95,1,1,1
95,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:96,1,1,1
96,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:97,1,1,1
97,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:98,1,1,1
98,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:99,1,1,1
99,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:100,1,1,1
100,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:101,1,1,1
101,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:102,1,1,1
102,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:103,1,1,1
103,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:104,1,1,1
104,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:105,1,1,1
105,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:106,1,1,1
106,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:107,1,1,1
107,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:108,1,1,1
108,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:109,1,1,1
109,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:110,1,1,1
110,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:111,1,1,1
111,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:112,1,1,1
112,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:113,1,1,1
113,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:114,1,1,1
114,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:115,1,1,1
115,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:116,1,1,1
116,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:117,1,1,1
117,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:118,1,1,1
118,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:119,1,1,1
119,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:120,1,1,1
120,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:121,1,1,1
121,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:122,1,1,1
122,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:123,1,1,1
123,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:124,1,1,1
124,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:125,1,1,1
125,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:126,1,1,1
126,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:127,1,1,1
127,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:128,1,1,1
128,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:129,1,1,1
129,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:130,1,1,1
130,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:131,1,1,1
131,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:132,1,1,1
132,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:133,1,1,1
133,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:134,1,1,1
134,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:135,1,1,1
135,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:136,1,1,1
136,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:137,1,1,1
137,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:138,1,1,1
138,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:139,1,1,1
139,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:140,1,1,1
140,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:141,1,1,1
141,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:142,1,1,1
142,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:143,1,1,1
143,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:144,1,1,1
144,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:145,1,1,1
145,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:146,1,1,1
146,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:147,1,1,1
147,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:148,1,1,1
148,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:149,1,1,1
149,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:150,1,1,1
150,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:151,1,1,1
151,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:152,1,1,1
152,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:153,1,1,1
153,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:154,1,1,1
154,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:155,1,1,1
155,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:156,1,1,1
156,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:157,1,1,1
157,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:158,1,1,1
158,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:159,1,1,1
159,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:160,1,1,1
160,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:161,1,1,1
161,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:162,1,1,1
162,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:163,1,1,1
163,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:164,1,1,1
164,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:165,1,1,1
165,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:166,1,1,1
166,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:167,1,1,1
167,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:168,1,1,1
168,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:169,1,1,1
169,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:170,1,1,1
170,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:171,1,1,1
171,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:172,1,1,1
172,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:173,1,1,1
173,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:174,1,1,1
174,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:175,1,1,1
175,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:176,1,1,1
176,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:177,1,1,1
177,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:178,1,1,1
178,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:179,1,1,1
179,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:180,1,1,1
180,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:181,1,1,1
181,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:182,1,1,1
182,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:183,1,1,1
183,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:184,1,1,1
184,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:185,1,1,1
185,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:186,1,1,1
186,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:187,1,1,1
187,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:188,1,1,1
188,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:189,1,1,1
189,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:190,1,1,1
190,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:191,1,1,1
191,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:192,1,1,1
192,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:193,1,1,1
193,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:194,1,1,1
194,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:195,1,1,1
195,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:196,1,1,1
196,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:197,1,1,1
197,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:198,1,1,1
198,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:199,1,1,1
199,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:200,1,1,1
200,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:201,1,1,1
201,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:202,1,1,1
202,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:203,1,1,1
203,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:204,1,1,1
204,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:205,1,1,1
205,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:206,1,1,1
206,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:207,1,1,1
207,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:208,1,1,1
208,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:209,1,1,1
209,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:210,1,1,1
210,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:211,1,1,1
211,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:212,1,1,1
212,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:213,1,1,1
213,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:214,1,1,1
214,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:215,1,1,1
215,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:216,1,1,1
216,unbiased,16,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:217,1,1,1
217,unbiased,17,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:218,1,1,1
218,unbiased,18,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:219,1,1,1
219,unbiased,19,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:220,1,1,1
220,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:221,1,1,1
221,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:222,1,1,1
222,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:223,1,1,1
223,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:224,1,1,1
224,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:225,1,1,1
225,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:226,1,1,1
